index,source_name,ra,dec,glon,glat,energy_flux,flux_uncertainty,significance,significance_peak,variability_index,frac_variability,spectrum_type,pl_index,pl_flux_density,class1,class2,assoc1,assoc2,flags
6806,4FGL J2224.5+0353,336.1251,3.8936,68.39263,-42.893845,1.5745982e-12,3.3916904e-13,5.9805994,-inf,15.356826,0.0,PowerLaw,2.08286,1.6196842e-14,bcu,,1RXS J222426.5+035445,,0
6807,4FGL J2225.2+6146,336.3052,61.7794,106.540016,3.6533358,2.0042206e-12,9.658958e-13,3.842252,-inf,12.260258,0.0,PowerLaw,2.2217362,3.2430914e-15,,,,,4096
6808,4FGL J2225.5-1114,336.3957,-11.2422,50.644466,-52.271626,1.5383269e-12,3.3061054e-13,8.163336,5.1777854,31.041115,0.67134917,LogParabola,2.2324436,5.343472e-14,bll,,PKS 2223-114,,2
6809,4FGL J2225.6+2120,336.4136,21.3418,83.19211,-30.058401,4.733721e-12,7.848711e-13,11.377816,7.303376,43.027725,0.5827006,LogParabola,2.765514,1.1901655e-12,fsrq,,PKS 2223+21,,0
6810,4FGL J2225.7-0457,336.4321,-4.9537,58.942257,-48.832916,1.06633565e-11,6.854826e-13,28.976145,21.345434,283.96393,0.8377627,LogParabola,2.4272556,3.885686e-12,fsrq,,3C 446,,0
6811,4FGL J2225.8-0804,336.4707,-8.0791,55.01867,-50.66223,2.0995974e-12,3.645493e-13,8.930967,-inf,15.645429,0.21412718,PowerLaw,1.87047,7.941416e-15,,,,,0
6812,4FGL J2226.5+6901c,336.6294,69.0208,110.53496,9.713673,2.0671052e-12,3.8490706e-13,8.509948,-inf,11.740665,0.0,PowerLaw,1.9028639,3.1274875e-15,bcu,,NVSS J222625+690207,,36
6813,4FGL J2226.6+0210,336.665,2.168,67.15557,-44.46487,1.8408645e-12,3.624122e-13,9.392768,-inf,25.39888,0.49780586,PowerLaw,1.6356624,1.9169245e-15,bcu,,2MASS J22263636+0210373,,0
6814,4FGL J2226.7+6052e,336.68,60.88,106.21676,2.7948003,4.3660006e-12,8.417039e-13,7.692305,-inf,14.889764,0.09523759,PowerLaw,1.7325766,1.1393989e-15,SPP,,SNR G106.3+02.7,,0
6815,4FGL J2226.8+0051,336.7125,0.8622,65.83239,-45.37571,4.343669e-12,7.6381485e-13,7.147526,7.2412724,53.721462,0.7524102,LogParabola,2.5321498,2.3350993e-13,fsrq,,PKS B2224+006,,16
6816,4FGL J2227.1+6455,336.7838,64.9243,108.39301,6.208464,4.474541e-12,1.21724e-12,5.0927,-inf,15.833651,0.21594444,LogParabola,2.6085458,2.1361694e-13,,,,,26
6817,4FGL J2227.9-3031,336.981,-30.5174,18.10496,-58.515152,1.7102805e-12,2.8183762e-13,7.5724854,-inf,13.120461,0.0,PowerLaw,2.0906522,3.189532e-14,rdg,,PKS 2225-308,,2
6818,4FGL J2227.9+0036,336.9843,0.6166,65.82816,-45.742004,7.7853375e-12,8.0338747e-13,23.301886,10.783841,32.08182,0.2962858,LogParabola,2.0380015,1.5061848e-13,bll,,PMN J2227+0037,,0
6819,4FGL J2228.0-1918,337.0028,-19.3026,38.572502,-56.25335,1.7012347e-12,3.7893316e-13,4.961005,-inf,24.652452,0.6244523,PowerLaw,2.5632737,2.1113031e-13,bcu,,PMN J2227-1922,,0
6820,4FGL J2228.0-4155,337.0038,-41.9324,356.65707,-57.281372,9.655902e-13,2.3708455e-13,5.8617406,-inf,16.61115,0.31521878,PowerLaw,1.891721,3.7992862e-15,bcu,,RBS 1864,,0
6821,4FGL J2228.5+2211,337.1455,22.1914,84.40957,-29.792854,3.1288422e-12,4.131438e-13,10.657187,-inf,10.016476,0.0,PowerLaw,2.315778,9.8075146e-14,bcu,,87GB 222614.9+215540,,0
6822,4FGL J2228.6-1636,337.1659,-16.6073,43.123074,-55.38391,2.6121234e-12,3.4450548e-13,10.660912,6.193838,51.242428,0.8533176,PowerLaw,2.0388408,3.812278e-14,bll,,2MASS J22283018-1636432,,0
6823,4FGL J2229.0+6114,337.2737,61.2364,106.648445,2.9486632,2.383928e-10,3.2567234e-12,168.59492,-inf,10.320953,0.0,PLSuperExpCutoff,2.3154776,9.537315e-12,PSR,,PSR J2229+6114,,0
6824,4FGL J2229.1+2254,337.298,22.9078,85.03043,-29.301596,1.3793768e-12,2.929034e-13,7.1525726,-inf,18.722971,0.0,PowerLaw,1.8654393,3.5493452e-15,bll,,NVSS J222913+225511,,0
6825,4FGL J2229.2-6911,337.3037,-69.1871,319.3744,-43.117466,2.9158932e-12,3.4133143e-13,11.112748,-inf,17.47722,0.21855098,PowerLaw,2.4749227,2.6392202e-13,bcu,,PKS 2225-694,,0
6826,4FGL J2229.2+6421c,337.3062,64.3657,108.29059,5.615427,2.9586915e-12,9.48127e-13,4.085523,-inf,25.081615,0.58210593,PowerLaw,2.3504276,1.8157628e-14,,,,,32
6827,4FGL J2229.3+5348,337.3419,53.8151,102.83543,-3.4194725,1.2650024e-12,3.26454e-13,6.5096517,-inf,10.500998,0.0,PowerLaw,1.7782182,8.513672e-16,unk,,1RXS J222920.8+534939,,0
6828,4FGL J2229.5+2549,337.3959,25.819,87.04883,-26.995806,1.2256189e-12,3.329088e-13,4.3312016,-inf,21.293827,0.581773,PowerLaw,2.3746047,3.9006274e-14,bcu,,MG3 J222946+2545,,0
6829,4FGL J2229.7-0832,337.4258,-8.5447,55.234726,-51.707024,3.5511632e-11,7.5285616e-13,65.86334,41.023876,1070.6221,0.58785677,LogParabola,2.5859838,5.4176982e-11,FSRQ,,PKS 2227-08,,0
